PLN_AREA_N,Crime
CENTRAL WATER CATCHMENT,0.81425486
ANG MO KIO,0.778977682
PAYA LEBAR,0.550035997
BEDOK,0.727861771
BISHAN,0.834413247
BUKIT BATOK,0.703383729
BUKIT MERAH ,0.60007199
BUKIT PANJANG,0.817854572
BUKIT TIMAH,0.872570194
CHANGI,0.774658027
CHOA CHU KANG,0.637149028
CLEMENTI,0.717062635
GEYLANG,0
HOUGANG,0.573074154
JURONG EAST,0.73362131
JURONG WEST,0.540676746
NEWTON,0.802735781
MARINE PARADE,0.802015839
PIONEER,0.566594672
TANGLIN,0.405327574
PASIR RIS,0.776097912
QUEENSTOWN,0.686105112
KALLANG,0.429805616
SEMBAWANG,0.871850252
SERANGOON,0.806335493
TAMPINES,0.593952484
TOA PAYOH,0.654427646
WOODLANDS,0.780417567
SIMPANG,0.720662347
YISHUN,0.869690425
SENGKANG,0.688984881
PUNGGOL,1
DOWNTOWN CORE,0.587473002
SUNGEI KADUT,0.366450684
