PLN_AREA_N,Crime
CENTRAL WATER CATCHMENT,0.060837498
ANG MO KIO,0.012326508
PAYA LEBAR,0.024366495
BEDOK,0.020650411
BISHAN,0.018754972
BUKIT BATOK,0.019906238
BUKIT MERAH ,0.021139852
BUKIT MERAH ,0.022284297
BUKIT PANJANG,0.013209061
BUKIT TIMAH,0.018653336
CHANGI,0.865462551
CHOA CHU KANG,0.019009125
CLEMENTI,0.02903532
GEYLANG,0.072871392
HOUGANG,0.017262928
JURONG EAST,0.029714363
JURONG WEST,0.024889856
NEWTON,0.035695926
MARINE PARADE,0.040343718
PIONEER,0.036048329
TANGLIN,0.178948032
PASIR RIS,0.01556829
QUEENSTOWN,0.029715529
KALLANG,0.04325605
SEMBAWANG,0.018228146
SERANGOON,0.015999278
TAMPINES,0.014037535
TOA PAYOH,0.025392948
WOODLANDS,0.009855251
SIMPANG,0.017609771
YISHUN,0.026877059
SENGKANG,0.013983275
PUNGGOL,0.003164269
DOWNTOWN CORE,1
SUNGEI KADUT,0.154127867
