PLN_AREA_N,Healthcare,Healthcare_rank
ANG MO KIO,0.684931507,4
BEDOK,1,1
BISHAN,0.205479452,26
BUKIT BATOK,0.438356164,10
BUKIT MERAH,0.657534247,6
BUKIT PANJANG,0.219178082,22
BUKIT TIMAH,0.219178082,22
CHANGI,0.095890411,30
CHOA CHU KANG,0.328767123,16
CLEMENTI,0.287671233,20
GEYLANG,0.452054795,9
HOUGANG,0.589041096,7
JURONG EAST,0.342465753,15
JURONG WEST,0.753424658,3
KALLANG,0.383561644,12
MANDAI,0,36
MARINE PARADE,0.178082192,27
MUSEUM,0.04109589,32
NEWTON,0.054794521,31
NOVENA,0.315068493,17
ORCHARD,0.219178082,22
OUTRAM,0.164383562,28
PASIR RIS,0.287671233,20
PUNGGOL,0.315068493,17
QUEENSTOWN,0.383561644,12
RIVER VALLEY,0,36
ROCHOR,0.219178082,22
SELETAR,0,36
SEMBAWANG,0.150684932,29
SENGKANG,0.369863014,14
SERANGOON,0.315068493,17
SINGAPORE RIVER,0,36
SOUTHERN ISLANDS,0.01369863,34
SUNGEI KADUT,0,36
TAMPINES,0.876712329,2
TANGLIN,0.04109589,32
TOA PAYOH,0.547945205,8
WESTERN WATER CATCHMENT,0.01369863,34
WOODLANDS,0.424657534,11
YISHUN,0.671232877,5
